             1             1
             2             1
             3             1
             4            -2
             5            -1
             6            -3
             7             1
             8            -7
             9             1
            10             1
            11            -9
            12           -10
            13             1
            14           -13
            15             1
            16             1
            17           -15
            18           -16
            19             1
            20             1
            21           -19
            22           -20
            23             1
            24             1
            25           -23
            26           -24
            27             1
            28             1
            29           -28
            30           -27
